MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367013050,2015-01-01T00:00:17,47.64809,-122.35087,4.4,117.5,511.0,GOODTIME III,,WSX5383,1012,under way using engine,22.2200,7.3000,0.0000,0
367436210,2015-01-01T00:02:17,46.19725,-123.80085,0.0,-95.9,244.0,ELTON,,WDF3125,0,moored,20.0000,8.0000,0.0000,0
367492890,2015-01-01T00:02:28,47.82257,-122.47040,8.6,165.7,166.0,ISLAND TRADER,,WDF8244,1001,at anchor,26.1200,8.6000,0.0000,30
367350050,2015-01-01T00:02:49,37.81690,-122.40924,8.5,-85.9,511.0,ALCATRAZ CLIPPER,,WDE4199,1012,under way using engine,38.8300,10.5000,0.0000,
316013431,2015-01-01T00:03:33,48.41467,-123.38626,0.0,-94.2,247.0,PACIFIC SCOUT,,,,undefined,19.0000,6.0600,2.8800,50
367013050,2015-01-01T00:03:48,47.64511,-122.34385,6.6,123.8,511.0,GOODTIME III,,WSX5383,1012,under way using engine,22.2200,7.3000,0.0000,0
367302540,2015-01-01T00:00:07,37.77423,-122.58316,5.8,-158.9,242.0,SCORPIUS,IMO7210783,WDD8770,1025,under way using engine,35.9200,9.6100,4.2100,
564900000,2015-01-01T00:00:02,49.29744,-123.19235,0.0,34.0,283.0,CSK LONGEVITY,IMO9679799,9V2330,1004,at anchor,224.9800,32.2400,14.4500,
316013431,2015-01-01T00:01:13,48.41467,-123.38628,0.0,-96.3,246.0,PACIFIC SCOUT,,,,undefined,19.0000,6.0600,2.8800,50
338143792,2015-01-01T00:02:56,48.59964,-122.67367,9.9,111.8,109.0,SWAN,,,1019,,17.2500,0.0000,0.0000,
366824910,2015-01-01T00:00:01,48.14067,-123.42552,0.0,-86.0,293.0,JUAN DE FUCA,,WDA5852,1001,undefined,22.6500,6.0000,0.0000,90
367530040,2015-01-01T00:01:04,45.64347,-122.75280,0.0,-201.2,50.0,WASHINGTON,IMO8207733,WDG3825,1025,under way using engine,28.3300,11.5800,0.0000,52
316003669,2015-01-01T00:03:18,49.15755,-122.95670,0.2,113.7,100.0,HAISEA GUARDIAN,IMO7414107,CZ5576,1025,under way using engine,23.3200,7.3200,2.9000,
367445120,2015-01-01T00:03:20,47.72382,-122.64160,0.1,122.9,511.0,ARCHIMEDES,,WDF3881,1019,,13.0100,4.1000,0.0000,
316013539,2015-01-01T00:03:44,49.34532,-123.53326,1.6,142.7,511.0,STORMFORCE,IMO7629233,CZ7003,1025,under way using engine,19.5700,7.6800,3.2000,
316009844,2015-01-01T00:03:50,49.19962,-122.91115,0.0,5.2,511.0,WESTMINSTER HUNTER,,,,undefined,0.0000,0.0000,0.0000,52
367403610,2015-01-01T00:00:08,47.63430,-122.32897,0.0,40.0,511.0,HOS SILVER ARROW,IMO9495533,WDE8275,1010,under way using engine,73.8400,16.6100,4.4700,70
316024871,2015-01-01T00:00:06,48.65269,-123.39364,0.0,0.0,511.0,FOREVER,,,,,0.0000,0.0000,0.0000,
367516350,2015-01-01T00:01:08,46.19031,-123.85656,0.0,0.0,511.0,MISS MOLLY,,WDG2509,1012,,13.4700,4.6000,0.0000,
366824910,2015-01-01T00:02:20,48.14068,-123.42551,0.0,-94.1,292.0,JUAN DE FUCA,,WDA5852,1001,undefined,22.6500,6.0000,0.0000,90
367350050,2015-01-01T00:03:50,37.81883,-122.41103,8.6,-80.2,511.0,ALCATRAZ CLIPPER,,WDE4199,1012,under way using engine,38.8300,10.5000,0.0000,
367309360,2015-01-01T00:00:06,48.88768,-123.02993,6.0,-103.1,311.0,PACIFIC CHALLENGER,IMO7509445,WDD9281,1025,at anchor,37.7000,10.3900,4.5500,52
367403610,2015-01-01T00:02:28,47.63430,-122.32897,0.0,-151.6,511.0,HOS SILVER ARROW,IMO9495533,WDE8275,1010,under way using engine,73.8400,16.6100,4.4700,70
316013431,2015-01-01T00:04:34,48.41468,-123.38627,0.0,-96.0,246.0,PACIFIC SCOUT,,,,undefined,19.0000,6.0600,2.8800,50
316009844,2015-01-01T00:02:30,49.19963,-122.91119,0.0,-53.6,511.0,WESTMINSTER HUNTER,,,,undefined,0.0000,0.0000,0.0000,52
316001349,2015-01-01T00:01:10,47.47229,-122.39964,5.4,-62.4,348.0,ISLAND DEFENDER,IMO8972730,CZ8755,1025,under way using engine,21.0300,7.3000,2.8300,52
316001068,2015-01-01T00:00:21,49.19537,-122.90736,0.0,-92.5,158.0,ARCTIC HOOPER,IMO7601786,VD3837,1025,under way using engine,33.5300,10.8300,3.9500,31
367350050,2015-01-01T00:01:09,37.81380,-122.40622,8.2,-90.9,511.0,ALCATRAZ CLIPPER,,WDE4199,1012,under way using engine,38.8300,10.5000,0.0000,
367459090,2015-01-01T00:01:15,48.61037,-123.15624,0.1,-93.0,511.0,SPYHOP,,WDF5076,1019,,14.6300,4.6000,0.0000,
338143792,2015-01-01T00:01:55,48.60070,-122.67758,9.9,111.3,109.0,SWAN,,,1019,,17.2500,0.0000,0.0000,
316001068,2015-01-01T00:01:31,49.19537,-122.90736,0.0,-98.0,158.0,ARCTIC HOOPER,IMO7601786,VD3837,1025,under way using engine,33.5300,10.8300,3.9500,31
