time_1,mmsi_1,time_2,mmsi_2
2015-01-01T00:04:27,373558000,2015-01-01T00:03:21,373558000
2015-01-01T00:01:08,367516350,2015-01-01T00:02:17,367436210
2015-01-01T00:04:04,367516350,2015-01-01T00:02:17,367436210
2015-01-01T00:04:04,367516350,2015-01-01T00:01:08,367516350
2015-01-01T00:01:03,538005566,2015-01-01T00:02:17,367436210
2015-01-01T00:01:03,538005566,2015-01-01T00:01:08,367516350
2015-01-01T00:01:03,538005566,2015-01-01T00:04:04,367516350
2015-01-01T00:03:37,367450570,2015-01-01T00:02:17,367436210
2015-01-01T00:03:37,367450570,2015-01-01T00:01:08,367516350
2015-01-01T00:03:37,367450570,2015-01-01T00:04:04,367516350
2015-01-01T00:03:37,367450570,2015-01-01T00:01:03,538005566
2015-01-01T00:00:08,239947000,2015-01-01T00:02:17,367436210
2015-01-01T00:00:08,239947000,2015-01-01T00:01:08,367516350
2015-01-01T00:00:08,239947000,2015-01-01T00:04:04,367516350
2015-01-01T00:00:08,239947000,2015-01-01T00:01:03,538005566
2015-01-01T00:00:08,239947000,2015-01-01T00:03:37,367450570
2015-01-01T00:04:00,316004410,2015-01-01T00:02:17,367436210
2015-01-01T00:04:00,316004410,2015-01-01T00:01:08,367516350
2015-01-01T00:04:00,316004410,2015-01-01T00:04:04,367516350
2015-01-01T00:04:00,316004410,2015-01-01T00:01:03,538005566
2015-01-01T00:04:00,316004410,2015-01-01T00:03:37,367450570
2015-01-01T00:04:00,316004410,2015-01-01T00:00:08,239947000
2015-01-01T00:01:13,316013431,2015-01-01T00:03:33,316013431
2015-01-01T00:00:01,366824910,2015-01-01T00:03:33,316013431
2015-01-01T00:00:01,366824910,2015-01-01T00:01:13,316013431
2015-01-01T00:03:44,316013539,2015-01-01T00:03:33,316013431
2015-01-01T00:03:44,316013539,2015-01-01T00:01:13,316013431
2015-01-01T00:03:44,316013539,2015-01-01T00:00:01,366824910
2015-01-01T00:00:06,316024871,2015-01-01T00:03:33,316013431
2015-01-01T00:00:06,316024871,2015-01-01T00:01:13,316013431
2015-01-01T00:00:06,316024871,2015-01-01T00:00:01,366824910
2015-01-01T00:00:06,316024871,2015-01-01T00:03:44,316013539
2015-01-01T00:02:20,366824910,2015-01-01T00:03:33,316013431
2015-01-01T00:02:20,366824910,2015-01-01T00:01:13,316013431
2015-01-01T00:02:20,366824910,2015-01-01T00:00:01,366824910
2015-01-01T00:02:20,366824910,2015-01-01T00:03:44,316013539
2015-01-01T00:02:20,366824910,2015-01-01T00:00:06,316024871
2015-01-01T00:04:34,316013431,2015-01-01T00:03:33,316013431
2015-01-01T00:04:34,316013431,2015-01-01T00:01:13,316013431
2015-01-01T00:04:34,316013431,2015-01-01T00:00:01,366824910
2015-01-01T00:04:34,316013431,2015-01-01T00:03:44,316013539
2015-01-01T00:04:34,316013431,2015-01-01T00:00:06,316024871
2015-01-01T00:04:34,316013431,2015-01-01T00:02:20,366824910
2015-01-01T00:02:35,316013539,2015-01-01T00:03:33,316013431
2015-01-01T00:02:35,316013539,2015-01-01T00:01:13,316013431
2015-01-01T00:02:35,316013539,2015-01-01T00:00:01,366824910
2015-01-01T00:02:35,316013539,2015-01-01T00:03:44,316013539
2015-01-01T00:02:35,316013539,2015-01-01T00:00:06,316024871
2015-01-01T00:02:35,316013539,2015-01-01T00:02:20,366824910
2015-01-01T00:02:35,316013539,2015-01-01T00:04:34,316013431
2015-01-01T00:03:31,366824910,2015-01-01T00:03:33,316013431
2015-01-01T00:03:31,366824910,2015-01-01T00:01:13,316013431
2015-01-01T00:03:31,366824910,2015-01-01T00:00:01,366824910
2015-01-01T00:03:31,366824910,2015-01-01T00:03:44,316013539
2015-01-01T00:03:31,366824910,2015-01-01T00:00:06,316024871
2015-01-01T00:03:31,366824910,2015-01-01T00:02:20,366824910
