MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
23613877,636014569,2015-01-31 23:59:54,48.489670000000004,-123.20817,15.1,176.0,175.0,W-STAR,IMO9476678,A8UX7,1004.0,under way using engine,229.2,38.0,14.9,
23618340,316002500,2015-01-31 23:59:48,48.4311,-123.37588999999998,0.0,-169.3,266.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
23635128,366980250,2015-01-31 23:59:38,48.13613,-123.46131000000001,0.1,146.3,511.0,BRIAN S,IMO8841943,WCP9410,1025.0,moored,30.05,8.84,3.51,31.0
23615021,338899000,2015-01-31 23:59:34,48.12572,-123.44475,0.0,-117.3,113.0,COMMITMENT,IMO9369411,WDE3894,1025.0,moored,40.05,12.8,6.86,31.0
23631573,367001670,2015-01-31 23:59:30,48.125440000000005,-123.45225,0.0,46.3,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
23635066,316005724,2015-01-31 23:59:29,48.41472,-123.38552,0.1,151.7,511.0,CHARLES H CATES IV,,,1025.0,under way using engine,14.23,5.36,1.71,52.0
24364793,351752000,2015-01-31 23:59:25,48.33858,-123.3653,0.0,23.0,90.0,CIELO DI AMALFI,IMO9374349,3ENR2,1004.0,at anchor,177.85,28.6,10.87,91.0
23634079,316013711,2015-01-31 23:59:24,48.43975,-123.44742,0.0,-105.8,292.0,CFAV GLENDYNE,,CGNF,,under way using engine,29.0,0.0,0.0,
24363989,316021382,2015-01-31 23:59:23,48.423429999999996,-123.38423999999999,0.0,-111.3,511.0,BLACK HAWK II,,,,,12.8,5.64,2.01,
23632492,367565030,2015-01-31 23:59:23,48.12246,-123.44481999999999,0.7,-102.7,511.0,WAVE WALKER,,WDG7216,1019.0,,19.81,0.0,0.0,
23632765,316003657,2015-01-31 23:59:21,48.41475,-123.38602,0.0,0.0,511.0,SEASPAN FOAM,,,1025.0,under way using engine,17.68,6.1,2.44,
23612687,316026746,2015-01-31 23:59:18,48.369820000000004,-123.72603000000001,0.1,14.2,511.0,EDGE,,,1001.0,,11.13,3.9,1.52,
23631056,211378370,2015-01-31 23:59:17,48.23503,-123.96149,14.4,101.5,100.0,HANJIN BRUSSELS,IMO9200691,DIGW,71.0,under way using engine,278.0,40.0,12.3,71.0
23616940,316009747,2015-01-31 23:59:16,48.43345,-123.43393,0.1,79.8,164.0,HMCS RAVEN,,CGAM,1018.0,moored,0.0,0.0,0.0,35.0
23615859,366825190,2015-01-31 23:59:11,48.14053,-123.42566000000001,0.0,-111.1,295.0,PUGET SOUND,,WCZ5670,,reserved for future use (9),22.62,6.0,0.0,50.0
23634227,352910000,2015-01-31 23:59:09,48.26115,-123.64463,13.4,-129.6,277.0,LEO FOREST,IMO9166211,3FPH8,70.0,under way using engine,177.0,29.0,6.4,70.0
23652728,369077000,2015-01-31 23:59:09,48.22201,-123.84908,8.4,105.0,106.0,HOS DOMINATOR,IMO9265811,WDA6788,1010.0,under way using engine,72.54,16.46,4.11,70.0
24364462,316005175,2015-01-31 23:59:07,48.41454,-123.38658999999998,0.0,-107.9,511.0,PACIFIC PILOT TWO,,CG2436,,under way using engine,18.78,5.06,2.29,0.0
23619819,316011773,2015-01-31 23:59:07,48.43313,-123.43371,0.0,88.0,165.0,HMCS GRIZZLY,,CGCA,1018.0,under way using engine,0.0,0.0,0.0,
23653961,366824910,2015-01-31 23:59:07,48.14067,-123.42551,0.0,-72.1,292.0,JUAN DE FUCA,,WDA5852,1001.0,undefined,22.65,6.0,0.0,90.0
23617803,316010312,2015-01-31 23:58:58,48.37828,-123.51008999999999,0.8,165.1,511.0,RAMPART,,CFK9385,1019.0,,0.0,0.0,0.0,
24364367,211378360,2015-01-31 23:58:57,48.13349,-123.434,0.1,-61.6,258.0,HANJIN OTTAWA,IMO9200718,DANM,1004.0,at anchor,278.08,40.3,14.0,79.0
23618949,316013431,2015-01-31 23:58:55,48.41466,-123.38625,0.1,-105.4,246.0,PACIFIC SCOUT,,,,undefined,19.0,6.06,2.88,50.0
23631440,316002500,2015-01-31 23:58:47,48.431129999999996,-123.37586,0.0,-169.3,266.0,ORCA CHIEF,IMO9165499,CFL9619,1001.0,undefined,34.52,9.5,5.06,
23633852,636014569,2015-01-31 23:58:47,48.494279999999996,-123.20868999999999,15.2,176.3,175.0,W-STAR,IMO9476678,A8UX7,1004.0,under way using engine,229.2,38.0,14.9,
23630939,316004039,2015-01-31 23:58:45,48.42471,-123.37147,0.0,0.0,511.0,MAPLE LEAF,,VA4KIU,,,18.14,4.48,2.38,
23619625,367086320,2015-01-31 23:58:39,48.06179,-123.03898999999998,0.0,0.0,511.0,MALAIKA,,WDC8392,1019.0,,12.8,3.8,0.0,
23631723,366910890,2015-01-31 23:58:31,48.13227,-123.44973,0.0,-101.7,511.0,ADRIATIC SEA,IMO7716969,WDB5553,1025.0,at anchor,38.41,10.37,4.18,52.0
23631594,367001670,2015-01-31 23:58:29,48.12545,-123.45225,0.0,49.0,511.0,VULCAN,,WB4266,1025.0,under way using engine,21.98,5.5,0.0,52.0
