time_1,mmsi_1,time_2,mmsi_2
2015-01-31 23:00:07,316013431,2015-01-31 23:00:07,371782000
2015-01-31 23:00:38,352910000,2015-01-31 23:00:38,316005175
2015-01-31 23:00:57,316005724,2015-01-31 23:00:57,372883000
2015-01-31 23:01:02,234270000,2015-01-31 23:01:02,366825190
2015-01-31 23:01:08,316003657,2015-01-31 23:01:08,371782000
2015-01-31 23:01:27,368452000,2015-01-31 23:01:27,316002500
2015-01-31 23:02:37,316002500,2015-01-31 23:02:37,316018038
2015-01-31 23:03:58,352910000,2015-01-31 23:03:58,316005175
2015-01-31 23:04:07,316011773,2015-01-31 23:04:07,366824910
2015-01-31 23:04:10,372883000,2015-01-31 23:04:10,367565030
2015-01-31 23:04:24,303436000,2015-01-31 23:04:24,368452000
2015-01-31 23:04:30,366910890,2015-01-31 23:04:30,366825190
2015-01-31 23:04:30,367001670,2015-01-31 23:04:30,366825190
2015-01-31 23:04:30,367001670,2015-01-31 23:04:30,366910890
2015-01-31 23:04:33,211378360,2015-01-31 23:04:33,316013711
2015-01-31 23:05:08,316005175,2015-01-31 23:05:08,316011773
2015-01-31 23:05:29,366980250,2015-01-31 23:05:29,351752000
2015-01-31 23:06:18,366824910,2015-01-31 23:06:18,316005175
2015-01-31 23:06:50,367001670,2015-01-31 23:06:50,316011515
2015-01-31 23:07:14,316011773,2015-01-31 23:07:14,352910000
2015-01-31 23:07:56,368452000,2015-01-31 23:07:56,371782000
2015-01-31 23:08:15,316013711,2015-01-31 23:08:15,316013431
2015-01-31 23:08:18,316026746,2015-01-31 23:08:18,352910000
2015-01-31 23:08:50,372883000,2015-01-31 23:08:50,366825190
2015-01-31 23:08:57,371782000,2015-01-31 23:08:57,368452000
2015-01-31 23:09:28,316005724,2015-01-31 23:09:28,316014919
2015-01-31 23:09:28,316002500,2015-01-31 23:09:28,316014919
2015-01-31 23:09:28,316002500,2015-01-31 23:09:28,316005724
2015-01-31 23:09:46,368168000,2015-01-31 23:09:46,316116000
2015-01-31 23:10:10,367001670,2015-01-31 23:10:10,366980250
2015-01-31 23:10:24,303436000,2015-01-31 23:10:24,352910000
2015-01-31 23:10:30,316003657,2015-01-31 23:10:30,366910890
2015-01-31 23:10:48,316005724,2015-01-31 23:10:48,316005175
2015-01-31 23:11:27,351752000,2015-01-31 23:11:27,352910000
2015-01-31 23:12:07,367565030,2015-01-31 23:12:07,316005724
2015-01-31 23:12:32,311037800,2015-01-31 23:12:32,367001670
2015-01-31 23:13:08,367565030,2015-01-31 23:13:08,316005175
2015-01-31 23:13:24,316004410,2015-01-31 23:13:24,303436000
2015-01-31 23:13:27,367528820,2015-01-31 23:13:27,371782000
2015-01-31 23:13:33,211378360,2015-01-31 23:13:33,368168000
2015-01-31 23:14:36,367565030,2015-01-31 23:14:36,371782000
2015-01-31 23:15:32,311037800,2015-01-31 23:15:32,316010312
2015-01-31 23:15:47,316011773,2015-01-31 23:15:47,316116000
2015-01-31 23:15:47,371782000,2015-01-31 23:15:47,316116000
2015-01-31 23:15:47,371782000,2015-01-31 23:15:47,316011773
2015-01-31 23:16:01,367001670,2015-01-31 23:16:01,234270000
2015-01-31 23:16:21,316003657,2015-01-31 23:16:21,316004410
2015-01-31 23:16:35,316013711,2015-01-31 23:16:35,211378360
2015-01-31 23:16:41,367086320,2015-01-31 23:16:41,366825190
2015-01-31 23:16:48,316005724,2015-01-31 23:16:48,316011773
2015-01-31 23:16:58,366824910,2015-01-31 23:16:58,371782000
2015-01-31 23:17:08,234270000,2015-01-31 23:17:08,369077000
2015-01-31 23:17:19,352910000,2015-01-31 23:17:19,316026746
2015-01-31 23:17:27,316002500,2015-01-31 23:17:27,351752000
2015-01-31 23:17:40,372883000,2015-01-31 23:17:40,316003657
2015-01-31 23:18:02,316003537,2015-01-31 23:18:02,316001538
2015-01-31 23:18:20,367001670,2015-01-31 23:18:20,369077000
2015-01-31 23:19:02,316005724,2015-01-31 23:19:02,234270000
2015-01-31 23:19:13,368452000,2015-01-31 23:19:13,316013711
2015-01-31 23:19:30,369077000,2015-01-31 23:19:30,366910890
2015-01-31 23:20:10,366825190,2015-01-31 23:20:10,316003657
2015-01-31 23:20:10,316009747,2015-01-31 23:20:10,316003657
2015-01-31 23:20:10,316009747,2015-01-31 23:20:10,366825190
2015-01-31 23:20:23,316013711,2015-01-31 23:20:23,316021382
2015-01-31 23:20:37,366980250,2015-01-31 23:20:37,367565030
2015-01-31 23:21:01,316003537,2015-01-31 23:21:01,316011773
2015-01-31 23:21:45,368168000,2015-01-31 23:21:45,316116000
2015-01-31 23:22:08,316011773,2015-01-31 23:22:08,316005175
2015-01-31 23:24:06,316013431,2015-01-31 23:24:06,367565030
2015-01-31 23:24:28,316005175,2015-01-31 23:24:28,316011773
2015-01-31 23:24:32,316010312,2015-01-31 23:24:32,311037800
2015-01-31 23:25:40,367086320,2015-01-31 23:25:40,211378360
2015-01-31 23:26:28,316002500,2015-01-31 23:26:28,351752000
2015-01-31 23:26:38,316005175,2015-01-31 23:26:38,366980250
2015-01-31 23:27:04,316001538,2015-01-31 23:27:04,367565030
2015-01-31 23:27:38,352910000,2015-01-31 23:27:38,316002500
2015-01-31 23:27:46,316013431,2015-01-31 23:27:46,368168000
2015-01-31 23:27:46,316116000,2015-01-31 23:27:46,368168000
2015-01-31 23:27:46,316116000,2015-01-31 23:27:46,316013431
2015-01-31 23:28:29,367528820,2015-01-31 23:28:29,369077000
2015-01-31 23:30:28,366824910,2015-01-31 23:30:28,316014919
2015-01-31 23:30:32,366825190,2015-01-31 23:30:32,311037800
2015-01-31 23:31:25,303436000,2015-01-31 23:31:25,316013711
2015-01-31 23:31:28,316005724,2015-01-31 23:31:28,367528820
2015-01-31 23:31:29,316005175,2015-01-31 23:31:29,316011773
2015-01-31 23:31:42,211378360,2015-01-31 23:31:42,366825190
2015-01-31 23:32:18,316002500,2015-01-31 23:32:18,316026746
2015-01-31 23:32:35,367565030,2015-01-31 23:32:35,338899000
2015-01-31 23:32:38,316005175,2015-01-31 23:32:38,366980250
2015-01-31 23:32:38,316011773,2015-01-31 23:32:38,366980250
2015-01-31 23:32:38,316011773,2015-01-31 23:32:38,316005175
2015-01-31 23:33:30,367001670,2015-01-31 23:33:30,316003657
2015-01-31 23:33:46,368168000,2015-01-31 23:33:46,316116000
2015-01-31 23:35:11,366825190,2015-01-31 23:35:11,316013711
2015-01-31 23:35:29,352910000,2015-01-31 23:35:29,351752000
2015-01-31 23:35:58,366824910,2015-01-31 23:35:58,316005175
2015-01-31 23:37:30,369077000,2015-01-31 23:37:30,367528820
2015-01-31 23:37:32,366910890,2015-01-31 23:37:32,366825190
2015-01-31 23:38:08,366824910,2015-01-31 23:38:08,316005724
2015-01-31 23:38:26,351752000,2015-01-31 23:38:26,316013431
2015-01-31 23:38:34,338899000,2015-01-31 23:38:34,316013711
2015-01-31 23:39:00,316003537,2015-01-31 23:39:00,316003657
2015-01-31 23:39:32,311037800,2015-01-31 23:39:32,316010312
